Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pdret_tmv,Pdret_mc
0,A,2,4,2015-01-21,104,0.0299,0.0237
0,A,3,4,2015-01-21,100,0.0290,0.0318
0,A,4,4,2015-01-21,92,0.0297,0.0278
0,A,5,4,2015-01-21,60,0.0398,0.0383
0,A,1,5,2015-01-21,65,0.0254,0.0359
0,A,2,5,2015-01-21,97,0.0257,0.0303
0,A,3,5,2015-01-21,92,0.0304,0.0314
0,A,4,5,2015-01-21,91,0.0330,0.0343
0,A,5,5,2015-01-21,125,0.0494,0.0487
0,A,1,1,2015-01-22,84,0.0266,0.0259
0,A,2,1,2015-01-22,53,0.0235,0.0160
0,A,3,1,2015-01-22,75,0.0209,0.0151
0,A,4,1,2015-01-22,111,0.0188,0.0215
0,A,5,1,2015-01-22,146,0.0114,0.0119
0,A,1,2,2015-01-22,88,0.0196,0.0170
0,A,2,2,2015-01-22,108,0.0171,0.0144
0,A,3,2,2015-01-22,107,0.0148,0.0129
0,A,4,2,2015-01-22,97,0.0173,0.0142
0,A,5,2,2015-01-22,69,0.0106,0.0100
0,A,1,3,2015-01-22,119,0.0199,0.0177
0,A,2,3,2015-01-22,107,0.0143,0.0157
0,A,3,3,2015-01-22,96,0.0239,0.0192
0,A,4,3,2015-01-22,78,0.0147,0.0167
0,A,5,3,2015-01-22,70,0.0152,0.0118
0,A,1,4,2015-01-22,113,0.0157,0.0157
0,A,2,4,2015-01-22,104,0.0143,0.0176
0,A,3,4,2015-01-22,100,0.0215,0.0186
0,A,4,4,2015-01-22,92,0.0154,0.0173
0,A,5,4,2015-01-22,60,0.0163,0.0289
0,A,1,5,2015-01-22,65,0.0158,0.0191
0,A,2,5,2015-01-22,97,0.0151,0.0161
0,A,3,5,2015-01-22,92,0.0132,0.0214
0,A,4,5,2015-01-22,91,0.0138,0.0124
0,A,5,5,2015-01-22,125,0.0020,0.0023
0,A,1,1,2015-01-23,84,-0.0048,-0.0053
0,A,2,1,2015-01-23,53,-0.0038,-0.0162
0,A,3,1,2015-01-23,75,-0.0134,-0.0102
0,A,4,1,2015-01-23,111,-0.0136,-0.0171
0,A,5,1,2015-01-23,146,-0.0189,-0.0168
0,A,1,2,2015-01-23,88,-0.0136,-0.0128
0,A,2,2,2015-01-23,108,-0.0055,-0.0143
0,A,3,2,2015-01-23,107,-0.0103,-0.0133
0,A,4,2,2015-01-23,97,-0.0092,-0.0094
0,A,5,2,2015-01-23,69,-0.0109,-0.0107
0,A,1,3,2015-01-23,119,-0.0132,-0.0029
0,A,2,3,2015-01-23,107,-0.0093,-0.0052
0,A,3,3,2015-01-23,96,-0.0021,-0.0097
0,A,4,3,2015-01-23,78,-0.0075,-0.0131
0,A,5,3,2015-01-23,70,-0.0075,-0.0116
0,A,1,4,2015-01-23,113,-0.0105,-0.0118
0,A,2,4,2015-01-23,104,-0.0094,-0.0070
0,A,3,4,2015-01-23,100,-0.0118,-0.0078
0,A,4,4,2015-01-23,92,-0.0102,-0.0080
0,A,5,4,2015-01-23,60,-0.0093,-0.0012
0,A,1,5,2015-01-23,65,-0.0093,-0.0032
0,A,2,5,2015-01-23,97,-0.0058,-0.0044
0,A,3,5,2015-01-23,92,-0.0008,-0.0044
0,A,4,5,2015-01-23,91,-0.0071,-0.0070
0,A,5,5,2015-01-23,125,0.0041,0.0020
0,A,1,1,2015-01-26,84,0.0126,0.0110
0,A,2,1,2015-01-26,53,0.0153,0.0079
0,A,3,1,2015-01-26,75,0.0225,0.0216
0,A,4,1,2015-01-26,111,0.0279,0.0275
0,A,5,1,2015-01-26,146,0.0238,0.0242
0,A,1,2,2015-01-26,88,0.0175,0.0219
0,A,2,2,2015-01-26,108,0.0249,0.0221
0,A,3,2,2015-01-26,107,0.0253,0.0247
0,A,4,2,2015-01-26,97,0.0237,0.0231
0,A,5,2,2015-01-26,69,0.0196,0.0172
0,A,1,3,2015-01-26,119,0.0229,0.0266
0,A,2,3,2015-01-26,107,0.0258,0.0217
0,A,3,3,2015-01-26,96,0.0240,0.0258
0,A,4,3,2015-01-26,78,0.0277,0.0228
0,A,5,3,2015-01-26,70,0.0255,0.0247
0,A,1,4,2015-01-26,113,0.0229,0.0224
0,A,2,4,2015-01-26,104,0.0233,0.0229
