ts_code,trade_date,total_mv,float_mv,pe,pb
000300.SH,20160815,28083378009987.0,20738267012254.0,12.76,1.54
000300.SH,20160816,27858597987576.0,20587194105995.0,12.66,1.53
000300.SH,20160817,27810003933602.0,20555752070406.0,12.64,1.53
000300.SH,20160818,27750444502157.0,20507773834207.0,12.61,1.52
000300.SH,20160819,27780819297275.0,20529025098011.0,12.62,1.52
000300.SH,20160822,27611826157998.0,20435452336728.0,12.55,1.51
000300.SH,20160823,27665128849012.0,20467788385458.0,12.57,1.52
000300.SH,20160824,27586532367377.0,20411693672927.0,12.53,1.51
000300.SH,20160825,27444191400844.0,20304516064286.0,12.47,1.5
000300.SH,20160826,27419347715625.0,20278306246061.0,12.46,1.49
000300.SH,20160829,27406741279025.0,20276673799643.0,12.45,1.49
000300.SH,20160830,27472692355254.0,20327989511731.0,12.48,1.5
