Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pmonret_tmv,Pmonret_mc
0,A,5,2,2016-07-29,81,0.0106,0.0034
0,A,4,2,2016-07-29,96,-0.0237,-0.0309
0,A,3,2,2016-07-29,84,-0.0285,-0.0297
0,A,1,2,2016-07-29,100,-0.0005,0.0053
0,A,5,1,2016-07-29,93,-0.0228,-0.0341
0,A,4,1,2016-07-29,112,-0.0539,-0.0576
0,A,3,1,2016-07-29,86,-0.0487,-0.0434
0,A,2,1,2016-07-29,70,-0.0245,-0.0377
0,A,1,1,2016-07-29,86,-0.0120,-0.0183
0,A,5,5,2016-08-31,149,0.0446,0.0399
0,A,4,5,2016-08-31,81,0.0424,0.0426
0,A,3,5,2016-08-31,81,0.0429,0.0569
0,A,1,5,2016-08-31,82,0.0801,0.0762
0,A,5,4,2016-08-31,76,0.0203,0.0290
0,A,4,4,2016-08-31,92,0.0308,0.0606
0,A,2,4,2016-08-31,99,0.0693,0.0609
0,A,1,4,2016-08-31,90,0.0710,0.0995
0,A,5,3,2016-08-31,79,0.0325,0.0257
0,A,3,3,2016-08-31,103,0.0437,0.0498
0,A,2,3,2016-08-31,100,0.0340,0.0568
0,A,1,3,2016-08-31,88,0.0748,0.0675
0,A,4,2,2016-08-31,97,0.0314,0.0371
0,A,3,2,2016-08-31,89,0.0567,0.0389
0,A,2,2,2016-08-31,102,0.0679,0.0581
0,A,5,1,2016-08-31,92,0.0284,0.0240
0,A,4,1,2016-08-31,112,0.0213,0.0286
0,A,3,1,2016-08-31,85,0.0534,0.0379
0,A,2,1,2016-08-31,73,0.0537,0.0796
