date,cpi,iv,m1,gdp,m2,HS300_close,HS300_open,HS300_volume
2017-09-07,104.79356638348787,117.7284143326372,518565.9281771073,196800.52786268806,1656601.0173784657,3829.87,3851.69,123884181.0
2017-09-08,104.81254253987764,117.75008632613623,518564.9281525136,196866.80586131726,1657078.850912978,3825.99,3830.07,106036504.0
2017-09-11,104.87080719120992,117.81636259343456,518463.5712896047,197068.08445600135,1658446.1623800402,3825.65,3828.34,123883997.0
2017-09-12,104.89067413570835,117.83887477813443,518397.0000722591,197135.99218716146,1658879.8698235697,3837.93,3832.24,144190242.0
2017-09-13,104.91076377723394,117.86159701063451,518314.0360567255,197204.30735145434,1659302.545744353,3842.61,3835.55,95410785.0
2017-09-14,104.9310761157867,117.88452929093481,518214.67924300395,197273.02994887994,1659714.190142391,3829.96,3843.57,115358583.0
2017-09-15,104.95161115136662,117.90767161903531,518098.92963109445,197342.1599794383,1660114.8030176833,3831.3,3826.14,122427006.0
2017-09-18,105.01071017311831,117.97680056828192,517792.02361944236,197542.42897336005,1661205.0861303825,3843.14,3832.96,117934405.0
2017-09-19,105.02914756680049,117.99957105947286,517718.5802917175,197605.74875024403,1661526.2879550338,3832.12,3849.88,112432987.0
2017-09-20,105.04695382036513,118.0222053047182,517659.5663020723,197667.35024991637,1661826.376839894,3842.44,3830.15,101129542.0
2017-09-21,105.06412893381227,118.04470330401793,517614.9816505068,197727.23347237706,1662105.3527849638,3837.82,3843.26,111098192.0
2017-09-22,105.08067290714187,118.06706505737206,517584.8263370209,197785.3984176262,1662363.2157902424,3837.73,3826.46,100619802.0
2017-09-25,105.12651798642555,118.13333284176069,517580.9364250408,197949.5835901036,1663010.1271673332,3817.79,3829.22,103948976.0
2017-09-26,105.14053739928505,118.1551496113323,517608.4984638734,198000.87542650616,1663183.538413448,3820.78,3810.33,81869407.0
2017-09-27,105.15392567202703,118.17683013495834,517650.48984078557,198050.44898569706,1663335.8367197725,3821.2,3818.96,85655811.0
2017-09-28,105.1666828046515,118.19837441263877,517706.9105557775,198098.30426767637,1663467.022086306,3822.54,3821.59,93544069.0
2017-09-29,105.17880879715845,118.21978244437355,517777.7606088489,198144.44127244398,1663577.0945130484,3836.5,3825.2,93306028.0
2017-10-09,105.26535601576397,118.42636923471255,519279.87473394274,198511.30607348046,1663516.6070919745,3882.21,3910.11,135535851.0
2017-10-10,105.27053946697814,118.44627856104557,519509.44750589016,198538.54202892008,1663394.4371810174,3889.86,3883.0,112532586.0
2017-10-11,105.2750917780748,118.46605164143295,519753.44961591717,198564.05970714815,1663251.1543302694,3902.69,3886.82,104418151.0
2017-10-12,105.27901294905392,118.48568847587475,520011.8810640237,198587.85910816456,1663086.7585397307,3912.95,3902.02,94340921.0
2017-10-13,105.28230297991551,118.50518906437091,520284.7418502099,198609.9402319693,1662901.2498094006,3921.0,3912.98,90142068.0
2017-10-16,105.28845063905622,118.5628849899881,521188.1453331744,198666.1304072758,1662224.807873569,3913.45,3926.28,121355033.0
2017-10-17,105.28973136753613,118.58193368112124,521504.68423910317,198683.3901595305,1662008.9425352996,3913.07,3910.79,82241227.0
2017-10-18,105.29089621398693,118.60093921272819,521821.61325053574,198700.98337186992,1661826.0594084633,3944.16,3914.82,100969841.0
